""	"tw"	"ira"	"e401"	"nifa"	"inc"	"hmort"	"hval"	"hequity"	"educ"	"male"	"twoearn"	"nohs"	"hs"	"smcol"	"col"	"age"	"fsize"	"marr"
"1"	53550	0	0	100	28146	60150	69000	8850	12	0	0	0	1	0	0	31	5	1
"2"	124635	0	0	61010	32634	20000	78000	58000	16	0	0	0	0	0	1	52	5	0
"3"	192949	1800	0	7549	52206	15900	200000	184100	11	1	1	1	0	0	0	50	3	1
"4"	-513	0	0	2487	45252	0	0	0	15	0	1	0	0	1	0	28	4	1
"5"	212087	0	0	10625	33126	90000	300000	210000	12	0	0	0	1	0	0	42	3	0
"6"	24400	0	0	9000	76860	99600	120000	20400	15	0	1	0	0	1	0	49	6	1
"7"	33299	0	0	1099	57477	63000	89000	26000	17	0	1	0	0	0	1	40	4	1
"8"	2500	0	0	1700	14637	0	0	0	14	0	0	0	0	1	0	58	1	0
"9"	0	0	0	0	6573	0	0	0	12	0	0	0	1	0	0	29	4	0
"10"	52625	8000	0	16900	43239	68000	83000	15000	12	1	0	0	1	0	0	45	1	0
"11"	-675	0	0	100	40323	0	0	0	12	1	1	0	1	0	0	25	3	1
"12"	8100	0	0	0	30000	0	0	0	14	0	0	0	0	1	0	30	2	1
"13"	59519	34000	0	1400	85086	235	12000	11765	12	1	1	0	1	0	0	42	4	1
"14"	64800	2300	0	60000	63525	0	0	0	18	0	0	0	0	0	1	35	1	0
"15"	15112	0	0	612	31896	0	0	0	12	0	0	0	1	0	0	41	5	1
"16"	123098	0	0	3098	74589	0	120000	120000	16	0	0	0	0	0	1	62	3	1
"17"	43258	0	0	298	38148	0	0	0	11	1	0	1	0	0	0	45	1	0
"18"	660413	50250	0	310163	71535	0	300000	300000	18	0	0	0	0	0	1	63	2	1
"19"	35999	0	0	499	21678	0	35000	35000	13	0	0	0	0	1	0	56	1	0
"20"	3700	0	0	500	27360	17000	12000	-5000	13	0	0	0	0	1	0	52	4	1
"21"	72300	0	0	1000	29724	35000	100000	65000	12	0	1	0	1	0	0	58	3	1
"22"	346394	0	0	53698	42084	52000	250000	198000	16	1	0	0	0	0	1	42	1	0
"23"	1000	0	0	1300	35100	0	0	0	12	0	0	0	1	0	0	61	5	0
"24"	7420	0	0	670	15051	0	10000	10000	10	0	0	1	0	0	0	62	2	1
"25"	77570	0	0	670	14328	0	80000	80000	12	0	1	0	1	0	0	48	3	1
"26"	116515	2115	0	14100	68214	83000	83000	0	14	0	0	0	0	1	0	28	3	1
"27"	78550	2000	0	17100	30030	57000	110000	53000	12	1	0	0	1	0	0	51	3	0
"28"	74400	0	0	0	9315	0	75000	75000	14	0	0	0	0	1	0	45	2	0
"29"	63399	8000	0	2399	47934	95000	150000	55000	17	0	1	0	0	0	1	42	4	1
"30"	275240	0	0	40	27168	73000	300000	227000	7	0	0	1	0	0	0	43	6	1
"31"	25380	0	0	8311	41610	31000	50000	19000	14	0	1	0	0	1	0	28	4	1
"32"	2125	0	0	799	31848	45000	45000	0	15	0	1	0	0	1	0	39	4	1
"33"	125947	14000	0	7747	38949	0	56000	56000	12	0	0	0	1	0	0	58	2	1
"34"	5249	0	0	5249	31098	0	0	0	16	0	0	0	0	0	1	30	1	0
"35"	-1501	0	0	3199	53700	0	0	0	16	1	1	0	0	0	1	32	4	1
"36"	64219	0	0	1069	37317	62000	80000	18000	16	1	0	0	0	0	1	31	2	0
"37"	3253	0	0	1150	23748	0	0	0	16	1	0	0	0	0	1	31	1	0
"38"	19250	250	0	1500	31470	50000	60000	10000	13	0	1	0	0	1	0	31	2	1
"39"	67450	0	0	35300	42750	86000	112000	26000	12	0	1	0	1	0	0	31	2	1
